name;company;location;salary_min;salary_max;salary_curr;publish_date;link;website
Python developer (Ds направление);Домклик;Москва;;;;05.03.2022;https://kazan.hh.ru/vacancy/52242210?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Junior Data Engineer (Intern);Profitero;Минск, Немига;;;;;https://kazan.hh.ru/vacancy/52061597?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Fullstack developer (СRM Мик);Домклик;Москва, Кутузовская;;;;05.03.2022;https://kazan.hh.ru/vacancy/50030627?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Blockchain Developer;Tencoins;Москва;60000.0;81000.0;РУБ;01.03.2022;https://kazan.hh.ru/vacancy/53218345?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Junior разработчик Python Django;ООО Инсейлс Рус;Москва, Комсомольская;40000.0;80000.0;РУБ;;https://kazan.hh.ru/vacancy/52203762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Python разработчик;Точка;Москва;;380000.0;РУБ;02.03.2022;https://kazan.hh.ru/vacancy/49590587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Intern / Junior Python backend developer;Рекруто;Санкт-Петербург;;60000.0;РУБ;04.03.2022;https://kazan.hh.ru/vacancy/53237122?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Python backend разработчик;UAB Softeka;Москва;190000.0;280000.0;РУБ;03.03.2022;https://kazan.hh.ru/vacancy/52296926?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Python-разработчик (Django, DRF);ООО Фабрика Решений;Москва, Сухаревская;60000.0;150000.0;РУБ;03.03.2022;https://kazan.hh.ru/vacancy/39736489?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Python Developer;Alber Blanc;Санкт-Петербург, Беговая;250000.0;350000.0;РУБ;03.03.2022;https://kazan.hh.ru/vacancy/53172534?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Junior Python разработчик;ИП Андреев Артём Александрович;Москва;50000.0;60000.0;РУБ;02.03.2022;https://kazan.hh.ru/vacancy/53130523?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Junior Backend-разработчик (Python);ООО ЛИИС Инженерные Решения;Санкт-Петербург, Петроградская;50000.0;;РУБ;02.03.2022;https://kazan.hh.ru/vacancy/52087160?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Python Developer;ООО АСД Технолоджиз;Нижний Новгород;200000.0;350000.0;РУБ;03.03.2022;https://kazan.hh.ru/vacancy/53043385?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Python разработчик (Middle\Senior);ООО 24 часа ТВ;Москва, Семеновская;180000.0;350000.0;РУБ;04.03.2022;https://kazan.hh.ru/vacancy/52029353?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Разработчик Python;ООО Нейрометрика;Москва;120000.0;;РУБ;;https://kazan.hh.ru/vacancy/52839444?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Веб-программист Python;WelbeX;Санкт-Петербург;35000.0;50000.0;РУБ;02.03.2022;https://kazan.hh.ru/vacancy/53028964?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Backend developer. Middle+/Senior. Go, Python, C++, Java.;Acquire;Москва;4000.0;7000.0;USD;02.03.2022;https://kazan.hh.ru/vacancy/52247182?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Python Developer;ООО АСД Технолоджиз;Санкт-Петербург;200000.0;350000.0;РУБ;03.03.2022;https://kazan.hh.ru/vacancy/53043386?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Python разработчик;Hi, Rockits!;Санкт-Петербург;160000.0;280000.0;РУБ;04.03.2022;https://kazan.hh.ru/vacancy/53363622?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
Python developer;ИНСИС;Екатеринбург, Площадь 1905 года;100000.0;180000.0;РУБ;04.03.2022;https://kazan.hh.ru/vacancy/53379080?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA;hh.ru
